Kode
ABBA
ABMM
ACRO
ACST
ADHI
ADMG
ADMR
ADRO
AGII
AGRO
AHAP
AKPI
AKSI
ALTO
AMAN
AMAR
AMFG
ANTM
APEX
APII
APLN
ARNA
ARTI
ARTO
ASJT
ASLC
ASMI
ASRI
ATIC
ATLA
AWAN
AYLS
BABP
BACA
BAPA
BBHI
BBKP
BBSS
BCAP
BCIP
BDMN
BEBS
BEEF
BEKS
BELL
BEST
BGTG
BINA
BINO
BIPI
BISI
BJBR
BJTM
BKSW
BLES
BMRI
BMSR
BMTR
BOBA
BOGA
BOLA
BOSS
BPTR
BREN
BRIS
BRMS
BRPT
BSML
BSSR
BTPN
BUAH
BUMI
BUVA
BVIC
BWPT
CAKK
CARE
CARS
CASS
CBMF
CCSI
CFIN
CHIP
CINT
CITY
CLEO
CMNP
CMPP
CNKO
COWL
CPRO
CUAN
CYBR
DAYA
DEAL
DEWA
DEWI
DFAM
DGIK
DIGI
DILD
DIVA
DKFT
DMMX
DMND
DOID
DOSS
DSFI
DSNG
DWGL
DYAN
EAST
ELPI
ELSA
ENRG
ENZO
EPAC
ERAA
ERAL
EURO
EXCL
FILM
FIRE
FMII
FORU
FPNI
FREN
FWCT
GGRP
GIAA
GJTL
GOTO
GSMF
GTBO
GULA
GZCO
HAJJ
HATM
HDIT
HEAL
HILL
HOME
HOMI
HRME
HRUM
IATA
IBOS
ICON
IDEA
IIKP
IKAI
IMAS
INAF
INCO
INDF
INDR
INDX
INDY
INKP
INTP
IPCC
IRRA
ISSP
ITIC
ITMA
JAWA
JMAS
JSKY
JSMR
KARW
KBAG
KBLI
KEJU
KIAS
KICI
KKGI
KLIN
KOBX
KPAS
KPIG
KRAS
KREN
LCGP
LEAD
LMAX
LMPI
LPKR
LPPS
LTLS
MAIN
MAMI
MANG
MARK
MASA
MAYA
MBSS
MBTO
MCAS
MCOR
MDKA
MDLN
MEDS
MEGA
MEJA
META
MGRO
MITI
MKNT
MKTR
MLIA
MLPL
MLPT
MMLP
MNCN
MPOW
MRAT
MSIN
MTEL
MTPS
MYTX
NETV
NIKL
NOBU
NPGF
NRCA
NUSA
OASA
OILS
OKAS
OPMS
PADA
PADI
PANI
PANR
PBID
PCAR
PDPP
PEGE
PGEO
PKPK
PLAN
PNBN
PNBS
POLL
POLU
POLY
PORT
PRDA
PSSI
PTDU
PTIS
PTPS
PTRO
PUDP
PURA
PURI
RAAM
RAFI
RALS
REAL
RIMO
RMKE
RODA
RSCH
RUIS
SAFE
SAMF
SBAT
SCMA
SDMU
SEMA
SGER
SHID
SHIP
SICO
SIDO
SILO
SIMA
SIMP
SKBM
SKLT
SKRN
SLIS
SMBR
SMGR
SMIL
SMKL
SMKM
SNLK
SOHO
SONA
SRIL
SSIA
STAR
SULI
SWAT
TAMU
TAXI
TCPI
TDPM
TECH
TGUK
TMAS
TMPO
TNCA
TOYS
TPIA
TRAM
TRIL
TRIN
TRJA
TRUK
UFOE
UNVR
VICO
VTNY
WEHA
WIIM
WIKA
WINE
WOOD
WOWS
YELO
ZYRX
